accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR12538715	SRP279131	new	PRJNA659851	SAMN15928572	190708_H2O_blank_1	BGT_GA03_GP13_011	SSU rRNA amplicon sequencing of mixed natural samples : blank to assess potential contamination or bleedthrough	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190708_H2O_blank_1.R1.fastq.gz	190708_H2O_blank_1.R2.fastq.gz				
SRR12538713	SRP279131	new	PRJNA659851	SAMN15928573	190708_H2O_blank_2	BGT_GA03_GP13_012	SSU rRNA amplicon sequencing of mixed natural samples : blank to assess potential contamination or bleedthrough	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190708_H2O_blank_2.R1.fastq.gz	190708_H2O_blank_2.R2.fastq.gz				
SRR12538693	SRP279131	new	PRJNA659851	SAMN15928574	190708_H2O_blank_3	BGT_GA03_GP13_013	SSU rRNA amplicon sequencing of mixed natural samples : blank to assess potential contamination or bleedthrough	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190708_H2O_blank_3.R1.fastq.gz	190708_H2O_blank_3.R2.fastq.gz				
SRR12538495	SRP279131	new	PRJNA659851	SAMN15928575	190708_H2O_blank_4	BGT_GA03_GP13_014	SSU rRNA amplicon sequencing of mixed natural samples : blank to assess potential contamination or bleedthrough	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190708_H2O_blank_4.R1.fastq.gz	190708_H2O_blank_4.R2.fastq.gz				
SRR12538483	SRP279131	new	PRJNA659851	SAMN15928576	190711_16s_even_v2	BGT_GA03_GP13_015	SSU rRNA amplicon sequencing of mixed natural samples : mock community for QC	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190711_16s_even_v2.R1.fastq.gz	190711_16s_even_v2.R2.fastq.gz				
SRR12538451	SRP279131	new	PRJNA659851	SAMN15928577	190711_16s_stag_v2	BGT_GA03_GP13_016	SSU rRNA amplicon sequencing of mixed natural samples : mock community for QC	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190711_16s_stag_v2.R1.fastq.gz	190711_16s_stag_v2.R2.fastq.gz				
SRR12538441	SRP279131	new	PRJNA659851	SAMN15928578	190711_18s_even	BGT_GA03_GP13_017	SSU rRNA amplicon sequencing of mixed natural samples : mock community for QC	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190711_18s_even.R1.fastq.gz	190711_18s_even.R2.fastq.gz				
SRR12538430	SRP279131	new	PRJNA659851	SAMN15928579	190711_18s_stag	BGT_GA03_GP13_018	SSU rRNA amplicon sequencing of mixed natural samples : mock community for QC	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190711_18s_stag.R1.fastq.gz	190711_18s_stag.R2.fastq.gz				
SRR12538419	SRP279131	new	PRJNA659851	SAMN15928580	190711_TE_blank_1	BGT_GA03_GP13_019	SSU rRNA amplicon sequencing of mixed natural samples : blank to assess potential contamination or bleedthrough	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190711_TE_blank_1.R1.fastq.gz	190711_TE_blank_1.R2.fastq.gz				
SRR12538417	SRP279131	new	PRJNA659851	SAMN15928581	190711_TE_blank_2	BGT_GA03_GP13_020	SSU rRNA amplicon sequencing of mixed natural samples : blank to assess potential contamination or bleedthrough	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190711_TE_blank_2.R1.fastq.gz	190711_TE_blank_2.R2.fastq.gz				
SRR12538676	SRP279131	new	PRJNA659851	SAMN15928582	190711_TE_blank_3	BGT_GA03_GP13_021	SSU rRNA amplicon sequencing of mixed natural samples : blank to assess potential contamination or bleedthrough	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190711_TE_blank_3.R1.fastq.gz	190711_TE_blank_3.R2.fastq.gz				
SRR12538665	SRP279131	new	PRJNA659851	SAMN15928583	190711_TE_blank_4	BGT_GA03_GP13_022	SSU rRNA amplicon sequencing of mixed natural samples : blank to assess potential contamination or bleedthrough	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190711_TE_blank_4.R1.fastq.gz	190711_TE_blank_4.R2.fastq.gz				
SRR12538654	SRP279131	new	PRJNA659851	SAMN15928584	190715_18s_even	BGT_GA03_GP13_023	SSU rRNA amplicon sequencing of mixed natural samples : mock community for QC	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190715_18s_even.R1.fastq.gz	190715_18s_even.R2.fastq.gz				
SRR12538643	SRP279131	new	PRJNA659851	SAMN15928585	190715_TE_blk	BGT_GA03_GP13_024	SSU rRNA amplicon sequencing of mixed natural samples : blank to assess potential contamination or bleedthrough	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190715_TE_blk.R1.fastq.gz	190715_TE_blk.R2.fastq.gz				
SRR12538632	SRP279131	new	PRJNA659851	SAMN15928586	S0050	BGT_GA03_GP13_025	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0050.R1.fastq.gz	S0050.R2.fastq.gz				
SRR12538526	SRP279131	new	PRJNA659851	SAMN15928587	S0052	BGT_GA03_GP13_026	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0052.R1.fastq.gz	S0052.R2.fastq.gz				
SRR12538515	SRP279131	new	PRJNA659851	SAMN15928588	S0053	BGT_GA03_GP13_027	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0053.R1.fastq.gz	S0053.R2.fastq.gz				
SRR12538623	SRP279131	new	PRJNA659851	SAMN15928589	S0054	BGT_GA03_GP13_028	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0054.R1.fastq.gz	S0054.R2.fastq.gz				
SRR12538612	SRP279131	new	PRJNA659851	SAMN15928590	S0055	BGT_GA03_GP13_029	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0055.R1.fastq.gz	S0055.R2.fastq.gz				
SRR12538601	SRP279131	new	PRJNA659851	SAMN15928591	S0057	BGT_GA03_GP13_030	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0057.R1.fastq.gz	S0057.R2.fastq.gz				
SRR12538566	SRP279131	new	PRJNA659851	SAMN15928592	S0058	BGT_GA03_GP13_031	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0058.R1.fastq.gz	S0058.R2.fastq.gz				
SRR12538560	SRP279131	new	PRJNA659851	SAMN15928593	S0059	BGT_GA03_GP13_032	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0059.R1.fastq.gz	S0059.R2.fastq.gz				
SRR12538559	SRP279131	new	PRJNA659851	SAMN15928594	S0060	BGT_GA03_GP13_033	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0060.R1.fastq.gz	S0060.R2.fastq.gz				
SRR12538558	SRP279131	new	PRJNA659851	SAMN15928595	S0062	BGT_GA03_GP13_034	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0062.R1.fastq.gz	S0062.R2.fastq.gz				
SRR12538557	SRP279131	new	PRJNA659851	SAMN15928596	S0063	BGT_GA03_GP13_035	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0063.R1.fastq.gz	S0063.R2.fastq.gz				
SRR12538556	SRP279131	new	PRJNA659851	SAMN15928597	S0064	BGT_GA03_GP13_036	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0064.R1.fastq.gz	S0064.R2.fastq.gz				
SRR12538555	SRP279131	new	PRJNA659851	SAMN15928598	S0065	BGT_GA03_GP13_037	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0065.R1.fastq.gz	S0065.R2.fastq.gz				
SRR12538554	SRP279131	new	PRJNA659851	SAMN15928599	S0066	BGT_GA03_GP13_038	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0066.R1.fastq.gz	S0066.R2.fastq.gz				
SRR12538553	SRP279131	new	PRJNA659851	SAMN15928600	S0067	BGT_GA03_GP13_039	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0067.R1.fastq.gz	S0067.R2.fastq.gz				
SRR12538552	SRP279131	new	PRJNA659851	SAMN15928601	S0068	BGT_GA03_GP13_040	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0068.R1.fastq.gz	S0068.R2.fastq.gz				
SRR12538550	SRP279131	new	PRJNA659851	SAMN15928602	S0069	BGT_GA03_GP13_041	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0069.R1.fastq.gz	S0069.R2.fastq.gz				
